sample_id,longitude,latitude
VBS10154-4954STDY7089682,34.319,-0.466
VBS17631,34.92,-0.174
VBS17632,34.92,-0.174
VBS17633,34.92,-0.174
VBS17634,34.92,-0.174
VBS17635,34.92,-0.174
VBS17636,34.92,-0.174
VBS17637,34.92,-0.174
VBS17638,34.92,-0.174
VBS17641,34.92,-0.174
VBS17642,34.92,-0.174
VBS17643,34.92,-0.174
VBS17645,34.92,-0.174
VBS17646,34.92,-0.174
VBS17647,34.92,-0.174
VBS17648,34.92,-0.174
VBS17649,34.92,-0.174
VBS17650,34.92,-0.174
VBS17651,34.92,-0.174
VBS17652,34.92,-0.174
VBS17653,34.92,-0.174
VBS17654,34.92,-0.174
VBS17657,34.92,-0.174
VBS17658,34.92,-0.174
VBS17659,34.92,-0.174
VBS17660,34.92,-0.174
VBS17661,34.92,-0.174
VBS17663,34.92,-0.174
VBS17664,34.92,-0.174
VBS17665,34.92,-0.174
VBS17666,34.92,-0.174
VBS17668,34.92,-0.174
VBS17669,34.92,-0.174
VBS17672,34.92,-0.174
VBS17673,34.92,-0.174
VBS17674,34.92,-0.174
VBS17676,34.92,-0.174
VBS17677,34.92,-0.174
VBS17678,34.513,-0.952
VBS17679,34.543,0.98
VBS17680,34.513,-0.952
VBS17681,34.513,-0.952
VBS17683,34.533,-0.901
VBS17684,34.533,-0.901
VBS17685,34.533,-0.901
VBS17686,34.596,-0.686
VBS17687,34.596,-0.686
VBS17689,34.543,0.98
VBS17690,34.596,-0.686
VBS17691,34.596,-0.686
VBS17692,34.596,-0.686
VBS17693,34.596,-0.686
VBS17694,34.596,-0.686
VBS17695,34.596,-0.686
VBS17696,34.596,-0.686
VBS17697,34.513,-0.952
VBS17698,34.513,-0.952
VBS17699,34.533,-0.901
VBS17700,34.543,0.98
VBS17701,34.543,0.98
VBS17702,34.543,0.98
VBS17703,34.543,0.98
VBS17704,34.543,0.98
VBS17705,34.543,0.98
VBS17706,34.543,0.98
VBS17707,34.543,0.98
VBS17709,34.543,0.98
VBS17710,34.543,0.98
VBS17711,34.543,0.98
VBS17714,34.543,0.98
VBS17715,34.543,0.98
VBS17716,34.543,0.98
VBS17717,34.543,0.98
VBS17718,34.543,0.98
VBS17719,34.543,0.98
VBS17720,34.543,0.98
VBS17721,34.543,0.98
VBS17722,34.391,-1.074
VBS17723,34.533,-0.901
VBS17724,34.533,-0.901
VBS17725,34.533,-0.901
VBS17726,34.533,-0.901
VBS96796,34.183,0.034
VBS96797,34.183,0.034
VBS96798,34.178,0.027
VBS96799,34.178,0.027
VBS96800,34.178,0.027
VBS96801,34.178,0.027
VBS96802,34.178,0.027
VBS96803,34.178,0.027
VBS96804,34.178,0.027
VBS96806,34.178,0.027
VBS96808,34.178,0.027
VBS96810,34.183,0.034
VBS96811,34.178,0.027
VBS96812,34.178,0.027
VBS96813,34.178,0.027
VBS96814,34.178,0.027
VBS96815,34.178,0.027
VBS96816,34.183,0.034
VBS96817,34.183,0.034
VBS96818,34.183,0.034
VBS96819,34.183,0.034
VBS96820,34.183,0.034
VBS96821,34.178,0.027
VBS96822,34.178,0.027
VBS96823,34.178,0.027
